algorithm,size,seconds
quick_lomuto_partition,0,0.000001000
quick_lomuto_partition,10000,0.001031800
quick_lomuto_partition,20000,0.002260200
quick_lomuto_partition,30000,0.003256600
quick_lomuto_partition,40000,0.004343200
quick_lomuto_partition,50000,0.005502000
quick_lomuto_partition,60000,0.007203200
quick_lomuto_partition,70000,0.008076800
quick_lomuto_partition,80000,0.009047600
quick_lomuto_partition,90000,0.011207000
quick_lomuto_partition,100000,0.011876400
quick_lomuto_partition,110000,0.013185600
quick_lomuto_partition,120000,0.015612200
quick_lomuto_partition,130000,0.016381800
quick_lomuto_partition,140000,0.017201000
quick_lomuto_partition,150000,0.018319200
quick_lomuto_partition,160000,0.020169600
quick_lomuto_partition,170000,0.021937600
quick_lomuto_partition,180000,0.022038000
quick_lomuto_partition,190000,0.025481600
quick_lomuto_partition,200000,0.024322800
quick_lomuto_partition,210000,0.027207400
quick_lomuto_partition,220000,0.028559400
quick_lomuto_partition,230000,0.030104000
quick_lomuto_partition,240000,0.030782800
quick_lomuto_partition,250000,0.032205000
quick_lomuto_partition,260000,0.033906400
quick_lomuto_partition,270000,0.035367000
quick_lomuto_partition,280000,0.036265000
quick_lomuto_partition,290000,0.036005200
quick_lomuto_partition,300000,0.042698800
quick_lomuto_partition,310000,0.041352400
quick_lomuto_partition,320000,0.041059800
quick_lomuto_partition,330000,0.044040600
quick_lomuto_partition,340000,0.043030200
quick_lomuto_partition,350000,0.044560400
quick_lomuto_partition,360000,0.046673000
quick_lomuto_partition,370000,0.049280600
quick_lomuto_partition,380000,0.050374000
quick_lomuto_partition,390000,0.052320400
quick_lomuto_partition,400000,0.051114200
quick_lomuto_partition,410000,0.055110800
quick_lomuto_partition,420000,0.054987800
quick_lomuto_partition,430000,0.056544800
quick_lomuto_partition,440000,0.057884800
quick_lomuto_partition,450000,0.059716800
quick_lomuto_partition,460000,0.061629400
quick_lomuto_partition,470000,0.067427800
quick_lomuto_partition,480000,0.062229200
quick_lomuto_partition,490000,0.073666600
quick_lomuto_partition,500000,0.071149000
quick_lomuto_partition,510000,0.069518600
quick_lomuto_partition,520000,0.073832600
