algorithm,size,seconds
quick_median3_recursive,0,0.000001000
quick_median3_recursive,10000,0.001980600
quick_median3_recursive,20000,0.003111800
quick_median3_recursive,30000,0.004117000
quick_median3_recursive,40000,0.005466400
quick_median3_recursive,50000,0.007167000
quick_median3_recursive,60000,0.008565400
quick_median3_recursive,70000,0.010580000
quick_median3_recursive,80000,0.012642600
quick_median3_recursive,90000,0.013395400
quick_median3_recursive,100000,0.015096200
quick_median3_recursive,110000,0.019075800
quick_median3_recursive,120000,0.017578200
quick_median3_recursive,130000,0.018982800
quick_median3_recursive,140000,0.020996200
quick_median3_recursive,150000,0.022514400
quick_median3_recursive,160000,0.024226000
quick_median3_recursive,170000,0.025509800
quick_median3_recursive,180000,0.027702200
quick_median3_recursive,190000,0.029100000
quick_median3_recursive,200000,0.030897200
quick_median3_recursive,210000,0.032633000
quick_median3_recursive,220000,0.034763200
quick_median3_recursive,230000,0.034922600
quick_median3_recursive,240000,0.038576400
quick_median3_recursive,250000,0.039274800
quick_median3_recursive,260000,0.041139600
quick_median3_recursive,270000,0.041750400
quick_median3_recursive,280000,0.044875000
quick_median3_recursive,290000,0.045592000
quick_median3_recursive,300000,0.045856400
quick_median3_recursive,310000,0.048353200
quick_median3_recursive,320000,0.049264000
quick_median3_recursive,330000,0.051810400
quick_median3_recursive,340000,0.052160200
quick_median3_recursive,350000,0.055176600
quick_median3_recursive,360000,0.057342600
quick_median3_recursive,370000,0.059617400
quick_median3_recursive,380000,0.059415200
quick_median3_recursive,390000,0.062119800
quick_median3_recursive,400000,0.066855800
quick_median3_recursive,410000,0.064359800
quick_median3_recursive,420000,0.070078800
quick_median3_recursive,430000,0.070586400
quick_median3_recursive,440000,0.071274800
quick_median3_recursive,450000,0.073524000
quick_median3_recursive,460000,0.073928800
quick_median3_recursive,470000,0.076364200
quick_median3_recursive,480000,0.079966800
quick_median3_recursive,490000,0.080694400
quick_median3_recursive,500000,0.084416400
quick_median3_recursive,510000,0.082160400
quick_median3_recursive,520000,0.083580000
quick_median3_recursive,530000,0.085928600
quick_median3_recursive,540000,0.090261600
quick_median3_recursive,550000,0.089593000
quick_median3_recursive,560000,0.091945400
quick_median3_recursive,570000,0.094571200
quick_median3_recursive,580000,0.097949600
quick_median3_recursive,590000,0.099085200
quick_median3_recursive,600000,0.100960400
quick_median3_recursive,610000,0.101106000
quick_median3_recursive,620000,0.101930600
quick_median3_recursive,630000,0.103108200
quick_median3_recursive,640000,0.108085400
quick_median3_recursive,650000,0.108102200
quick_median3_recursive,660000,0.108850000
quick_median3_recursive,670000,0.114173200
quick_median3_recursive,680000,0.115692400
quick_median3_recursive,690000,0.116390600
quick_median3_recursive,700000,0.114508600
quick_median3_recursive,710000,0.121699400
quick_median3_recursive,720000,0.124686800
quick_median3_recursive,730000,0.133334200
quick_median3_recursive,740000,0.130913200
quick_median3_recursive,750000,0.125371000
quick_median3_recursive,760000,0.129097200
quick_median3_recursive,770000,0.133148200
quick_median3_recursive,780000,0.130652400
quick_median3_recursive,790000,0.131338200
quick_median3_recursive,800000,0.131837000
quick_median3_recursive,810000,0.134096000
quick_median3_recursive,820000,0.137828200
quick_median3_recursive,830000,0.135955000
quick_median3_recursive,840000,0.141653800
quick_median3_recursive,850000,0.142384200
quick_median3_recursive,860000,0.146905400
quick_median3_recursive,870000,0.146433400
quick_median3_recursive,880000,0.151345600
quick_median3_recursive,890000,0.150451000
quick_median3_recursive,900000,0.153353800
quick_median3_recursive,910000,0.156180400
quick_median3_recursive,920000,0.159161400
quick_median3_recursive,930000,0.159547400
quick_median3_recursive,940000,0.162279400
quick_median3_recursive,950000,0.168088000
quick_median3_recursive,960000,0.167905600
quick_median3_recursive,970000,0.169411400
quick_median3_recursive,980000,0.169955000
quick_median3_recursive,990000,0.176438000
quick_median3_recursive,1000000,0.181638400
quick_median3_tailrec,0,0.000001600
quick_median3_tailrec,10000,0.001634000
quick_median3_tailrec,20000,0.002888200
quick_median3_tailrec,30000,0.004276200
quick_median3_tailrec,40000,0.006090200
quick_median3_tailrec,50000,0.007332400
quick_median3_tailrec,60000,0.008746800
quick_median3_tailrec,70000,0.011691200
quick_median3_tailrec,80000,0.012841800
quick_median3_tailrec,90000,0.014145600
quick_median3_tailrec,100000,0.015721000
quick_median3_tailrec,110000,0.019604400
quick_median3_tailrec,120000,0.019675200
quick_median3_tailrec,130000,0.019013600
quick_median3_tailrec,140000,0.021643200
quick_median3_tailrec,150000,0.023435200
quick_median3_tailrec,160000,0.025085000
quick_median3_tailrec,170000,0.026081600
quick_median3_tailrec,180000,0.028970000
quick_median3_tailrec,190000,0.030796800
quick_median3_tailrec,200000,0.033116800
quick_median3_tailrec,210000,0.033948800
quick_median3_tailrec,220000,0.035916800
quick_median3_tailrec,230000,0.035840000
quick_median3_tailrec,240000,0.039435600
quick_median3_tailrec,250000,0.039346000
quick_median3_tailrec,260000,0.041384200
quick_median3_tailrec,270000,0.042603200
quick_median3_tailrec,280000,0.045154800
quick_median3_tailrec,290000,0.046891800
quick_median3_tailrec,300000,0.050634200
quick_median3_tailrec,310000,0.048394000
quick_median3_tailrec,320000,0.049367000
quick_median3_tailrec,330000,0.052999400
quick_median3_tailrec,340000,0.053897600
quick_median3_tailrec,350000,0.057427200
quick_median3_tailrec,360000,0.058712000
quick_median3_tailrec,370000,0.061024600
quick_median3_tailrec,380000,0.062293600
quick_median3_tailrec,390000,0.065337000
quick_median3_tailrec,400000,0.068386000
quick_median3_tailrec,410000,0.068032000
quick_median3_tailrec,420000,0.070953400
quick_median3_tailrec,430000,0.071980400
quick_median3_tailrec,440000,0.071647600
quick_median3_tailrec,450000,0.073548600
quick_median3_tailrec,460000,0.077788200
quick_median3_tailrec,470000,0.079565600
quick_median3_tailrec,480000,0.084070800
quick_median3_tailrec,490000,0.084233800
quick_median3_tailrec,500000,0.084241800
quick_median3_tailrec,510000,0.083733800
quick_median3_tailrec,520000,0.084830000
quick_median3_tailrec,530000,0.090622200
quick_median3_tailrec,540000,0.090749600
quick_median3_tailrec,550000,0.092032800
quick_median3_tailrec,560000,0.095525000
quick_median3_tailrec,570000,0.097753000
quick_median3_tailrec,580000,0.098131200
quick_median3_tailrec,590000,0.101997400
quick_median3_tailrec,600000,0.107037200
quick_median3_tailrec,610000,0.105663200
quick_median3_tailrec,620000,0.107377800
