algorithm,size,seconds
quick_median3_recursive,0,0.000001600
quick_median3_recursive,10000,0.001290800
quick_median3_recursive,20000,0.002323600
quick_median3_recursive,30000,0.003362800
quick_median3_recursive,40000,0.004771800
quick_median3_recursive,50000,0.005417200
quick_median3_recursive,60000,0.006687000
quick_median3_recursive,70000,0.007561400
quick_median3_recursive,80000,0.008319800
quick_median3_recursive,90000,0.010051800
quick_median3_recursive,100000,0.010654000
quick_median3_recursive,110000,0.011161200
quick_median3_recursive,120000,0.012146200
quick_median3_recursive,130000,0.013452200
quick_median3_recursive,140000,0.014575200
quick_median3_recursive,150000,0.015501800
quick_median3_recursive,160000,0.019478800
quick_median3_recursive,170000,0.017296400
quick_median3_recursive,180000,0.017928400
quick_median3_recursive,190000,0.019170800
quick_median3_recursive,200000,0.020266200
quick_median3_recursive,210000,0.021848600
quick_median3_recursive,220000,0.021927400
quick_median3_recursive,230000,0.023527000
quick_median3_recursive,240000,0.023822800
quick_median3_recursive,250000,0.024751600
quick_median3_recursive,260000,0.025442400
quick_median3_recursive,270000,0.027313400
quick_median3_recursive,280000,0.028345200
quick_median3_recursive,290000,0.028902000
quick_median3_recursive,300000,0.029628400
quick_median3_recursive,310000,0.031010600
quick_median3_recursive,320000,0.031691600
quick_median3_recursive,330000,0.032143400
quick_median3_recursive,340000,0.033137000
quick_median3_recursive,350000,0.035549200
quick_median3_recursive,360000,0.036425000
quick_median3_recursive,370000,0.037001800
quick_median3_recursive,380000,0.038260000
quick_median3_recursive,390000,0.040013000
quick_median3_recursive,400000,0.038806800
quick_median3_recursive,410000,0.040059400
quick_median3_recursive,420000,0.041627400
quick_median3_recursive,430000,0.041057800
quick_median3_recursive,440000,0.043097400
quick_median3_recursive,450000,0.043585200
quick_median3_recursive,460000,0.045600200
quick_median3_recursive,470000,0.046003600
quick_median3_recursive,480000,0.046836200
quick_median3_recursive,490000,0.047495000
quick_median3_recursive,500000,0.049499800
quick_median3_recursive,510000,0.049434600
quick_median3_recursive,520000,0.049708800
quick_median3_recursive,530000,0.050925600
quick_median3_recursive,540000,0.052108600
quick_median3_recursive,550000,0.052859600
quick_median3_recursive,560000,0.055960000
quick_median3_recursive,570000,0.053838000
quick_median3_recursive,580000,0.054610800
quick_median3_recursive,590000,0.057581600
quick_median3_recursive,600000,0.058575200
quick_median3_recursive,610000,0.058173000
quick_median3_recursive,620000,0.061842600
quick_median3_recursive,630000,0.060501400
quick_median3_recursive,640000,0.060600400
quick_median3_recursive,650000,0.068742400
quick_median3_recursive,660000,0.063047600
quick_median3_recursive,670000,0.065981600
quick_median3_recursive,680000,0.065374200
quick_median3_recursive,690000,0.068253800
quick_median3_recursive,700000,0.067808400
quick_median3_recursive,710000,0.076026800
quick_median3_recursive,720000,0.071614000
quick_median3_recursive,730000,0.069505800
quick_median3_recursive,740000,0.071220800
quick_median3_recursive,750000,0.074454000
quick_median3_recursive,760000,0.075029000
quick_median3_recursive,770000,0.075235200
quick_median3_recursive,780000,0.075654800
quick_median3_recursive,790000,0.080414400
quick_median3_recursive,800000,0.077381600
quick_median3_recursive,810000,0.080830800
quick_median3_recursive,820000,0.080326800
quick_median3_recursive,830000,0.082595200
quick_median3_recursive,840000,0.084756400
quick_median3_recursive,850000,0.084379800
quick_median3_recursive,860000,0.083513000
quick_median3_recursive,870000,0.084442200
quick_median3_recursive,880000,0.085193400
