algorithm,size,seconds
introsort_c125,0,0.000001200
introsort_c125,10000,0.001102400
introsort_c125,20000,0.002191800
introsort_c125,30000,0.003333400
introsort_c125,40000,0.004776400
introsort_c125,50000,0.005991800
introsort_c125,60000,0.007517400
introsort_c125,70000,0.008672000
introsort_c125,80000,0.010322200
introsort_c125,90000,0.011794000
introsort_c125,100000,0.013007200
introsort_c125,110000,0.014148200
introsort_c125,120000,0.015724000
introsort_c125,130000,0.017220400
introsort_c125,140000,0.018351400
introsort_c125,150000,0.019984800
introsort_c125,160000,0.021210200
introsort_c125,170000,0.023335000
introsort_c125,180000,0.024065000
introsort_c125,190000,0.026559000
introsort_c125,200000,0.026703800
introsort_c125,210000,0.028559800
introsort_c125,220000,0.029687600
introsort_c125,230000,0.031909800
introsort_c125,240000,0.021127600
introsort_c125,250000,0.036199800
introsort_c125,260000,0.035867600
introsort_c125,270000,0.039250800
introsort_c125,280000,0.039178400
introsort_c125,290000,0.040341000
introsort_c125,300000,0.042039200
introsort_c125,310000,0.043228000
introsort_c125,320000,0.045257000
introsort_c125,330000,0.047460400
introsort_c125,340000,0.048693800
introsort_c125,350000,0.048384200
introsort_c125,360000,0.052506200
introsort_c125,370000,0.053837200
introsort_c125,380000,0.054079200
introsort_c125,390000,0.056584200
introsort_c125,400000,0.057896000
introsort_c125,410000,0.062135200
introsort_c125,420000,0.060883200
introsort_c125,430000,0.069184400
introsort_c125,440000,0.064403800
introsort_c125,450000,0.071170400
introsort_c125,460000,0.067166200
introsort_c125,470000,0.067953200
introsort_c125,480000,0.069524800
introsort_c125,490000,0.069867800
introsort_c125,500000,0.070434800
introsort_c125,510000,0.072666000
introsort_c125,520000,0.075317000
introsort_c125,530000,0.075883200
introsort_c125,540000,0.078866000
introsort_c125,550000,0.080440200
introsort_c125,560000,0.085181600
introsort_c125,570000,0.082116800
introsort_c125,580000,0.084740400
introsort_c125,590000,0.085522600
introsort_c125,600000,0.088821200
introsort_c125,610000,0.088186400
introsort_c125,620000,0.092029800
introsort_c125,630000,0.093069200
introsort_c125,640000,0.094257400
introsort_c125,650000,0.097686400
introsort_c125,660000,0.102946200
introsort_c125,670000,0.101423000
introsort_c125,680000,0.113333000
introsort_c125,690000,0.106037200
introsort_c125,700000,0.103536400
introsort_c125,710000,0.108289800
introsort_c125,720000,0.110772800
introsort_c125,730000,0.114187000
introsort_c125,740000,0.109351400
introsort_c125,750000,0.111774400
introsort_c125,760000,0.118268800
introsort_c125,770000,0.116886400
introsort_c125,780000,0.120914000
introsort_c125,790000,0.120484800
introsort_c125,800000,0.124935200
introsort_c125,810000,0.122611400
introsort_c125,820000,0.123947800
introsort_c125,830000,0.124290400
introsort_c125,840000,0.129023600
introsort_c125,850000,0.126601000
introsort_c125,860000,0.130826400
introsort_c125,870000,0.136148200
introsort_c125,880000,0.136861600
introsort_c125,890000,0.134567400
introsort_c125,900000,0.137692000
introsort_c125,910000,0.139576400
introsort_c125,920000,0.139080400
introsort_c125,930000,0.141210800
introsort_c125,940000,0.142592600
introsort_c125,950000,0.144646400
introsort_c125,960000,0.148611600
