algorithm,size,seconds
dijkstra_naive,2500,0.021164731
dijkstra_naive,5000,0.082060091
dijkstra_naive,7500,0.265525622
dijkstra_naive,10000,0.474457960
dijkstra_naive,12500,0.657004178
dijkstra_naive,15000,1.041364930
dijkstra_naive,17500,1.847506063
dijkstra_binary_heap,2500,0.015623345
dijkstra_binary_heap,5000,0.054228086
dijkstra_binary_heap,7500,0.172689476
dijkstra_binary_heap,10000,0.334439251
dijkstra_binary_heap,12500,0.371155368
dijkstra_binary_heap,15000,0.602013455
dijkstra_binary_heap,17500,1.163849413
dijkstra_binomial_heap,2500,0.017777570
dijkstra_binomial_heap,5000,0.059618244
dijkstra_binomial_heap,7500,0.182344576
dijkstra_binomial_heap,10000,0.275949876
dijkstra_binomial_heap,12500,0.334874056
dijkstra_binomial_heap,15000,0.539371951
dijkstra_binomial_heap,17500,1.244846080
dijkstra_fibonacci_heap,2500,0.024555657
dijkstra_fibonacci_heap,5000,0.095785936
dijkstra_fibonacci_heap,7500,0.170420615
dijkstra_fibonacci_heap,10000,0.464889814
dijkstra_fibonacci_heap,12500,0.589486377
dijkstra_fibonacci_heap,15000,1.040165555
dijkstra_fibonacci_heap,17500,2.137849253
