algorithm,size,seconds
dijkstra_naive,2500,0.010993709
dijkstra_naive,5000,0.042231352
dijkstra_naive,7500,0.107817241
dijkstra_naive,10000,0.225737091
dijkstra_naive,12500,0.391648017
dijkstra_naive,15000,0.617848784
dijkstra_naive,17500,0.960889267
dijkstra_binary_heap,2500,0.001310548
dijkstra_binary_heap,5000,0.002130344
dijkstra_binary_heap,7500,0.003195248
dijkstra_binary_heap,10000,0.004047032
dijkstra_binary_heap,12500,0.005631432
dijkstra_binary_heap,15000,0.007217360
dijkstra_binary_heap,17500,0.010112411
dijkstra_binomial_heap,2500,0.001770338
dijkstra_binomial_heap,5000,0.005489496
dijkstra_binomial_heap,7500,0.005873169
dijkstra_binomial_heap,10000,0.008805446
dijkstra_binomial_heap,12500,0.012855673
dijkstra_binomial_heap,15000,0.015047964
dijkstra_binomial_heap,17500,0.019242575
dijkstra_fibonacci_heap,2500,0.006673466
dijkstra_fibonacci_heap,5000,0.019948900
dijkstra_fibonacci_heap,7500,0.040978076
dijkstra_fibonacci_heap,10000,0.065428445
dijkstra_fibonacci_heap,12500,0.104754459
dijkstra_fibonacci_heap,15000,0.144831918
dijkstra_fibonacci_heap,17500,0.206381889
